strain,temperature_optimum_C,temperature_minimum,temperature_maximum,ph_optimum,ph_minimum,ph_maximum,salinity_optimum,salinity_minimum,salinity_maximum,oxygen_tolerance
Pseudomonadota sp.,18.214402626763547,3.757826088711166,26.24491143711191,6.588417317171759,5.051996246690751,8.39419123039858,0.0,0.0,0.0876411710590225,tolerant
Pseudomonadota sp.,28.06765273862493,14.790828933428472,35.773309537916234,7.0438550397838355,5.202372915604679,9.623900315149331,0.0,0.0,0.5889409505608132,tolerant
Pseudomonadota sp. JADJHU01 sp016707425,35.472119198508906,17.583779921134727,43.47061953481093,7.480374507840748,5.707788416870727,9.549221109656951,0.8703554649930898,0.2548951214038133,5.078564488278145,not tolerant
Bacteroidota sp. Leadbetterella sp016722655,23.79132832230904,7.876332542881304,32.40739868146925,6.883793690517875,5.362213084032651,8.43478268665948,0.0062401029520131,0.0,3.1868116158065067,tolerant
Acidobacteriota sp. UBA5066 sp016719485,34.9571692099299,18.30182351812332,43.727216096675384,7.317434507501086,5.935723748662738,9.048789067145576,0.0,0.2842127442227846,0.0,tolerant
Bacteroidota sp.,20.301968428239196,3.485231671987833,25.401394760663877,6.364362146514372,5.016045565585183,8.177437200282807,0.0,0.0,0.0,tolerant
Pseudomonadota sp.,38.608992250819625,25.89765044992619,47.56300891033102,6.875251050708611,5.175442642205283,9.035833001813351,0.0,0.0,0.0,tolerant
Krumholzibacteriota sp.,26.89973146826257,8.577508163230572,33.95520672497991,7.1164592022795246,5.595425777786606,9.341341486014088,0.6732043585409264,0.0,3.913343222063371,tolerant
Chloroflexota sp. Villigracilis propinquus,34.449283572626165,19.665141024660823,40.83492090382384,7.637734686306529,5.67955995080323,9.511527857603468,0.0,0.0,0.0,tolerant
Pseudomonadota sp. Accumulibacter necessarius,34.00208161264692,17.879764268183088,42.168832675486485,7.286581886432852,5.323170209478259,9.115246790127788,0.4175101063676418,0.0,1.9641821696630144,not tolerant
Pseudomonadota sp. Phenylobacterium sp030693625,33.64040184229992,17.31887699615404,43.50373023435099,7.239723871915018,5.486789762952378,9.494026592411617,0.0,0.0,0.2178203473739657,tolerant
Pseudomonadota sp.,36.42328491337957,21.906048557471628,45.06639062231982,7.2015548563768235,5.456892418861376,9.199343526948452,1.3187523001687935,0.5612981017257308,4.079628067164302,tolerant
Pseudomonadota sp. Nitrosomonas sp020852615,27.513611454394724,8.196349807444246,34.737688222557814,6.676221674211832,5.124164058551691,8.264419609768154,1.7140413631578384,0.1928449404981049,4.277786371385057,tolerant
Bacteroidota sp.,30.190754473340014,15.44260541961511,36.4503844774145,7.071451153454205,5.707198503494401,9.19366916921226,0.0,0.0,0.0,not tolerant
Bacteroidota sp.,24.47791508039071,11.716030798475302,30.789887372962298,6.946608224407226,5.367901823118585,8.882054539216602,0.0,0.0,0.0,not tolerant
Bacteroidota sp.,35.247083728446896,16.610451573920543,41.931691118031786,6.631788181087043,5.202227875836778,8.10834467185924,0.0,0.0,0.0,tolerant
Pseudomonadota sp.,27.237827635633096,10.301510564223172,37.09010085495249,7.64518442660661,5.3491768687630215,9.995385551163176,0.0,0.0,3.6571837627197343,tolerant
Bacteroidota sp. UTCHB3 sp016707285,22.370928712703225,3.2355040239325454,29.779405821644048,7.263046581282751,5.909249324927886,9.180399385249022,0.0,0.0,0.2384695513514483,tolerant
Pseudomonadota sp.,27.412187518615113,11.98161352248934,34.14156452551373,6.627162802556832,4.84942715722889,8.323728822803218,0.0,0.0,0.0,tolerant
Patescibacteria sp.,35.61317354347963,24.579425486397152,43.9664855156547,7.573657511318094,5.800997136376386,10.397234228496034,0.5745412659831457,0.0,0.2039533052494011,not tolerant
Pseudomonadota sp. Nitrosomonas oligotrophaA,24.542927073709997,9.782389303396467,30.273045858340524,7.201943334783716,5.421460288882179,8.706486030477448,2.880561924090869,0.7711012339831591,7.279854789713495,tolerant
Bacteroidota sp.,28.383437682910703,13.628416313921765,34.8316400549415,6.301352560110548,5.150494150934075,7.650667247783174,0.0,0.0,0.0,tolerant
Bacteroidota sp. IGN3 sp016707115,29.936837152859,11.58554056169056,36.671516370324014,7.062296526660718,5.688862743560368,8.916087698886791,0.994186347740972,0.0,3.815850866557147,tolerant
Pseudomonadota sp.,27.320407514780484,12.045635322514435,36.92235027217728,7.018000669022568,4.927417573102356,9.059353652512304,0.0,0.0,1.339193048453332,tolerant
Planctomycetota sp. Brocadia sapporoensis,42.16346453780453,24.840553084551733,47.97041915321503,6.864233542375293,5.178024611698796,8.034131898932994,0.5229793487687786,0.3072142743984192,2.2069217750298504,not tolerant
Pseudomonadota sp. Azonexus sp016709495,22.81768344337241,4.901237067578389,30.756857820441912,6.947486659140364,5.3430364075541625,8.744074414286901,0.0,0.0,1.1173968249554704,tolerant
Bacteroidota sp.,23.24605253642838,4.183973704762238,30.05473490893791,6.260925927893444,5.174613504569757,8.32379648790203,0.0,0.0,0.0,tolerant
Pseudomonadota sp.,27.855613825642916,12.038587037999168,35.088687559843294,5.952163633901225,4.771633403254798,7.272921720281433,0.038508252532635,0.0,2.2024506837840327,tolerant
Bacteroidota sp. PHOS-HE28 sp016717305,25.12260217326175,5.660929266334662,32.55918443331784,6.463074494609301,4.853165659682476,8.585538588292348,0.4794834878711622,0.0,3.241707022026965,tolerant
Patescibacteria sp.,22.84205267942687,5.6467570726276435,33.02255851251094,7.614574694714947,6.269464566769788,9.576214034656966,4.791902729490582,3.4377882664036647,4.9680576936190874,not tolerant
Patescibacteria sp.,26.9063108891344,13.410410660333966,33.46491396943279,7.167176156938649,5.625602072751337,9.081106922824976,3.982525220503123,1.6904023018319383,9.1393111099098,not tolerant
Bacteroidota sp.,27.639510280857756,12.860937553807547,35.42569511399463,7.030286689286553,5.333903065390671,9.21548935526941,0.7721957076504493,0.4434998676243435,3.03095594996034,not tolerant
Bacteroidota sp. UBA10438 sp002426145,29.347033299944577,15.148338412190167,35.56017980726116,6.911018011168966,5.583744918473471,8.93073281251196,0.7169058913142767,0.0972045718034269,1.0315843545747576,not tolerant
